Damage Type,Confidence,Est. Length (cm),Severity,Action Priority,Bounding Box
Burst,0.0%,0.1% Area,🟢 Low,Monitor Status,"[162.3, 0.0, 195.3, 1.5]"
Burst,0.0%,0.4% Area,🟢 Low,Monitor Status,"[179.4, 2.7, 206.0, 11.2]"
Burst,0.0%,0.6% Area,🟢 Low,Monitor Status,"[137.1, 2.4, 170.5, 11.6]"
Burst,0.0%,2.0% Area,🟠 Medium,Schedule Maintenance,"[177.6, 148.0, 213.0, 176.6]"
Burst,0.0%,0.5% Area,🟢 Low,Monitor Status,"[191.3, 2.6, 221.1, 11.5]"
Burst,0.0%,0.3% Area,🟢 Low,Monitor Status,"[179.9, 0.0, 215.0, 5.0]"
Burst,0.0%,0.2% Area,🟢 Low,Monitor Status,"[183.9, 0.0, 209.0, 4.1]"
Burst,0.0%,3.7% Area,🟠 Medium,Schedule Maintenance,"[139.4, 168.5, 226.4, 189.7]"
Burst,0.0%,4.0% Area,🟠 Medium,Schedule Maintenance,"[0.1, 40.9, 23.2, 128.9]"
Burst,0.0%,0.7% Area,🟢 Low,Monitor Status,"[0.0, 80.0, 6.1, 137.2]"
Burst,0.0%,0.2% Area,🟢 Low,Monitor Status,"[90.7, 190.0, 124.4, 193.0]"
Burst,0.0%,2.6% Area,🟠 Medium,Schedule Maintenance,"[0.0, 24.1, 41.1, 56.4]"
Burst,0.0%,0.3% Area,🟢 Low,Monitor Status,"[170.4, 0.0, 205.1, 5.0]"
Burst,0.0%,0.3% Area,🟢 Low,Monitor Status,"[151.3, 74.5, 164.3, 85.4]"
Burst,0.0%,0.2% Area,🟢 Low,Monitor Status,"[196.7, 0.0, 223.0, 4.0]"
Burst,0.0%,2.5% Area,🟠 Medium,Schedule Maintenance,"[108.8, 109.8, 147.7, 142.7]"
Burst,0.0%,0.2% Area,🟢 Low,Monitor Status,"[99.9, 0.0, 123.4, 4.3]"
Burst,0.0%,0.7% Area,🟢 Low,Monitor Status,"[103.0, 9.2, 129.1, 21.8]"
Burst,0.0%,2.9% Area,🟠 Medium,Schedule Maintenance,"[31.1, 89.1, 74.1, 123.7]"
Burst,0.0%,0.5% Area,🟢 Low,Monitor Status,"[46.5, 187.7, 90.1, 193.0]"
Burst,0.0%,2.1% Area,🟠 Medium,Schedule Maintenance,"[45.0, 89.4, 77.8, 121.6]"
Burst,0.0%,2.4% Area,🟠 Medium,Schedule Maintenance,"[86.7, 125.3, 129.3, 154.3]"
Burst,0.0%,0.3% Area,🟢 Low,Monitor Status,"[46.0, 0.0, 76.0, 4.3]"
Burst,0.0%,3.6% Area,🟠 Medium,Schedule Maintenance,"[16.5, 36.9, 70.9, 70.5]"
Burst,0.0%,0.2% Area,🟢 Low,Monitor Status,"[190.1, 0.0, 216.4, 4.1]"
Burst,0.0%,0.8% Area,🟢 Low,Monitor Status,"[41.5, 9.9, 74.1, 22.9]"
Burst,0.0%,0.2% Area,🟢 Low,Monitor Status,"[157.6, 0.0, 186.9, 4.3]"
Burst,0.0%,3.7% Area,🟠 Medium,Schedule Maintenance,"[189.2, 151.6, 234.8, 193.0]"
Burst,0.0%,0.2% Area,🟢 Low,Monitor Status,"[52.8, 0.0, 82.2, 4.3]"
Burst,0.0%,0.1% Area,🟢 Low,Monitor Status,"[218.1, 0.0, 250.4, 1.5]"
Burst,0.0%,2.9% Area,🟠 Medium,Schedule Maintenance,"[145.4, 125.5, 190.2, 157.7]"
Burst,0.0%,1.6% Area,🟢 Low,Monitor Status,"[135.1, 102.9, 166.6, 128.3]"
Burst,0.0%,1.1% Area,🟢 Low,Monitor Status,"[160.4, 14.3, 189.1, 34.0]"
Burst,0.0%,8.7% Area,🔴 High,Immediate Repair,"[177.7, 86.1, 236.0, 161.4]"
